,Dry Bulb Temperature,Global Horizontal Radiation,Cooling Demand
2017-06-01 00:00:00,20.0,0.0,87.73683038534783
2017-06-01 01:00:00,19.8,0.0,15.020909577012118
2017-06-01 02:00:00,19.5,0.0,28.514973261203682
2017-06-01 03:00:00,19.2,0.0,29.079865518623883
2017-06-01 04:00:00,19.0,0.0,67.94049681536727
2017-06-01 05:00:00,19.5,47.0,99.13643018200216
2017-06-01 06:00:00,20.0,177.0,35.593311177957524
2017-06-01 07:00:00,19.0,355.0,277.8484020981259
2017-06-01 08:00:00,21.0,518.0,519.6521772419227
2017-06-01 09:00:00,21.0,642.0,5962.64528629727
2017-06-01 10:00:00,23.8,738.0,4369.422129206126
2017-06-01 11:00:00,22.0,791.0,4479.033571845891
2017-06-01 12:00:00,22.0,791.0,5503.1559843276145
2017-06-01 13:00:00,21.8,795.0,6193.683004219399
2017-06-01 14:00:00,22.0,758.0,4875.717595554456
2017-06-01 15:00:00,21.0,599.0,4941.602223655799
2017-06-01 16:00:00,22.3,419.0,4536.674048936421
2017-06-01 17:00:00,21.0,255.0,3822.004280421975
2017-06-01 18:00:00,21.0,106.0,3449.781852973661
2017-06-01 19:00:00,20.6,28.0,3176.056236620713
2017-06-01 20:00:00,20.0,1.0,1855.4191636528203
2017-06-01 21:00:00,20.0,0.0,407.1432656548498
2017-06-01 22:00:00,19.6,0.0,797.6479111424458
2017-06-01 23:00:00,20.0,0.0,658.3191296826285
2017-06-02 00:00:00,20.0,0.0,154.76319417940184
2017-06-02 01:00:00,20.0,0.0,125.54933114844007
2017-06-02 02:00:00,20.0,0.0,150.06218232595668
2017-06-02 03:00:00,19.0,0.0,87.24433042658042
2017-06-02 04:00:00,19.0,0.0,117.13999616630238
2017-06-02 05:00:00,19.0,30.0,115.77229662006319
2017-06-02 06:00:00,19.0,111.0,80.49236067004746
2017-06-02 07:00:00,19.2,239.0,190.20595991358655
2017-06-02 08:00:00,20.0,325.0,129.67271193169168
2017-06-02 09:00:00,22.0,332.0,6566.322339748881
2017-06-02 10:00:00,23.4,366.0,4427.449515261471
2017-06-02 11:00:00,22.0,447.0,4849.2056266817535
2017-06-02 12:00:00,22.0,558.0,6119.427231497089
2017-06-02 13:00:00,22.8,597.0,6573.758947377027
2017-06-02 14:00:00,22.0,563.0,5464.55138075636
2017-06-02 15:00:00,22.0,526.0,5516.418210929221
2017-06-02 16:00:00,22.8,415.0,5171.861643874552
2017-06-02 17:00:00,22.0,264.0,3636.0803916717446
2017-06-02 18:00:00,21.0,124.0,3253.570164203239
2017-06-02 19:00:00,21.3,32.0,3003.512544327034
2017-06-02 20:00:00,20.0,1.0,1899.6555721434463
2017-06-02 21:00:00,20.0,0.0,396.47964207711215
2017-06-02 22:00:00,19.1,0.0,746.4362428932984
2017-06-02 23:00:00,19.0,0.0,639.8026288344823
2017-06-03 00:00:00,19.0,0.0,118.90009887527833
2017-06-03 01:00:00,18.0,0.0,83.49774743244019
2017-06-03 02:00:00,18.0,0.0,123.38885622387883
2017-06-03 03:00:00,17.0,0.0,71.89371315404586
2017-06-03 04:00:00,16.8,0.0,126.53316114220564
2017-06-03 05:00:00,17.0,41.0,112.67475457650232
2017-06-03 06:00:00,16.0,130.0,60.289183153154994
2017-06-03 07:00:00,19.0,267.0,129.53141441370815
2017-06-03 08:00:00,20.0,412.0,288.7295521895201
2017-06-03 09:00:00,20.0,523.0,2789.5957649053016
2017-06-03 10:00:00,22.2,640.0,2954.557902252698
2017-06-03 11:00:00,22.0,781.0,3768.552352637058
2017-06-03 12:00:00,22.0,861.0,5232.105895321704
